Metric,Method,MetricForm,MetricForm_long,Group,Group_long,MetricDescription,MetricMethodDescription
V_Herbaceous_Abund,Veg,Abund,Abundance,Herbaceous,herbaceous layer dwellers,Abundance of herbaceous layer dwellers,Abundance of herbaceous layer dwellers in veg samples
V_Herbaceous_RelAbund,Veg,RelAbund,Relative abundance,Herbaceous,herbaceous layer dwellers,Relative abundance of herbaceous layer dwellers,Relative abundance of herbaceous layer dwellers in veg samples
T_Insect_Rich,Trap,Rich,Richness,Insect,insects,Richness of insects,Richness of insects in trap samples
T_Insect_RelRich,Trap,RelRich,Relative richness,Insect,insects,Relative richness of insects,Relative richness of insects in trap samples
T_Insect_Abund,Trap,Abund,Abundance,Insect,insects,Abundance of insects,Abundance of insects in trap samples
T_Insect_RelAbund,Trap,RelAbund,Relative abundance,Insect,insects,Relative abundance of insects,Relative abundance of insects in trap samples
V_Insect_Rich,Veg,Rich,Richness,Insect,insects,Richness of insects,Richness of insects in veg samples
V_Insect_RelRich,Veg,RelRich,Relative richness,Insect,insects,Relative richness of insects,Relative richness of insects in veg samples
V_Insect_Abund,Veg,Abund,Abundance,Insect,insects,Abundance of insects,Abundance of insects in veg samples
V_Insect_RelAbund,Veg,RelAbund,Relative abundance,Insect,insects,Relative abundance of insects,Relative abundance of insects in veg samples
T_LinEpi_Rich,Trap,Rich,Richness,LinEpi,Argentine ants,Richness of Argentine ants,Richness of Argentine ants in trap samples
T_LinEpi_RelRich,Trap,RelRich,Relative richness,LinEpi,Argentine ants,Relative richness of Argentine ants,Relative richness of Argentine ants in trap samples
T_LinEpi_Abund,Trap,Abund,Abundance,LinEpi,Argentine ants,Abundance of Argentine ants,Abundance of Argentine ants in trap samples
T_LinEpi_RelAbund,Trap,RelAbund,Relative abundance,LinEpi,Argentine ants,Relative abundance of Argentine ants,Relative abundance of Argentine ants in trap samples
V_LinEpi_Rich,Veg,Rich,Richness,LinEpi,Argentine ants,Richness of Argentine ants,Richness of Argentine ants in veg samples
V_LinEpi_RelRich,Veg,RelRich,Relative richness,LinEpi,Argentine ants,Relative richness of Argentine ants,Relative richness of Argentine ants in veg samples
V_LinEpi_Abund,Veg,Abund,Abundance,LinEpi,Argentine ants,Abundance of Argentine ants,Abundance of Argentine ants in veg samples
V_LinEpi_RelAbund,Veg,RelAbund,Relative abundance,LinEpi,Argentine ants,Relative abundance of Argentine ants,Relative abundance of Argentine ants in veg samples
T_Noninsect_Rich,Trap,Rich,Richness,Noninsect,non-insects,Richness of non-insects,Richness of non-insects in trap samples
T_Noninsect_RelRich,Trap,RelRich,Relative richness,Noninsect,non-insects,Relative richness of non-insects,Relative richness of non-insects in trap samples
T_Noninsect_Abund,Trap,Abund,Abundance,Noninsect,non-insects,Abundance of non-insects,Abundance of non-insects in trap samples
T_Noninsect_RelAbund,Trap,RelAbund,Relative abundance,Noninsect,non-insects,Relative abundance of non-insects,Relative abundance of non-insects in trap samples
V_Noninsect_Rich,Veg,Rich,Richness,Noninsect,non-insects,Richness of non-insects,Richness of non-insects in veg samples
V_Noninsect_RelRich,Veg,RelRich,Relative richness,Noninsect,non-insects,Relative richness of non-insects,Relative richness of non-insects in veg samples
V_Noninsect_Abund,Veg,Abund,Abundance,Noninsect,non-insects,Abundance of non-insects,Abundance of non-insects in veg samples
V_Noninsect_RelAbund,Veg,RelAbund,Relative abundance,Noninsect,non-insects,Relative abundance of non-insects,Relative abundance of non-insects in veg samples
T_Nonnat_KRich,Trap,QC,,Nonnat,,Number of taxa with known native status,Number of taxa with known native status in trap samples
T_Nonnat_Rich,Trap,Rich,Richness,Nonnat,non-native taxa,Richness of non-native taxa,Richness of non-native taxa in trap samples
T_Nonnat_RelRich,Trap,RelRich,Relative richness,Nonnat,non-native taxa,Relative richness of non-native taxa,Relative richness of non-native taxa in trap samples
T_Nonnat_KAbund,Trap,QC,,Nonnat,,Abundance of taxa with known native status,Abundance of taxa with known native status in trap samples
T_Nonnat_Abund,Trap,Abund,Abundance,Nonnat,non-native taxa,Abundance of non-native taxa,Abundance of non-native taxa in trap samples
T_Nonnat_RelAbund,Trap,RelAbund,Relative abundance,Nonnat,non-native taxa,Relative abundance of non-native taxa,Relative abundance of non-native taxa in trap samples
V_Nonnat_KRich,Veg,QC,,Nonnat,,Number of taxa with known native status,Number of taxa with known native status in veg samples
V_Nonnat_Rich,Veg,Rich,Richness,Nonnat,non-native taxa,Richness of non-native taxa,Richness of non-native taxa in veg samples
V_Nonnat_RelRich,Veg,RelRich,Relative richness,Nonnat,non-native taxa,Relative richness of non-native taxa,Relative richness of non-native taxa in veg samples
V_Nonnat_KAbund,Veg,QC,,Nonnat,,Abundance of taxa with known native status,Abundance of taxa with known native status in veg samples
V_Nonnat_Abund,Veg,Abund,Abundance,Nonnat,non-native taxa,Abundance of non-native taxa,Abundance of non-native taxa in veg samples
V_Nonnat_RelAbund,Veg,RelAbund,Relative abundance,Nonnat,non-native taxa,Relative abundance of non-native taxa,Relative abundance of non-native taxa in veg samples
T_NonnatSynanth_KRich,Trap,QC,,NonnatSynanth,,Number of taxa with known native or synanthropic status,Number of taxa with known native or synanthropic status in trap samples
T_NonnatSynanth_Rich,Trap,Rich,Richness,NonnatSynanth,"non-native, non-synanthropic taxa","Richness of non-native, non-synanthropic taxa","Richness of non-native, non-synanthropic taxa in trap samples"
T_NonnatSynanth_RelRich,Trap,RelRich,Relative richness,NonnatSynanth,"non-native, non-synanthropic taxa","Relative richness of non-native, non-synanthropic taxa","Relative richness of non-native, non-synanthropic taxa in trap samples"
T_NonnatSynanth_KAbund,Trap,QC,,NonnatSynanth,,Abundance of taxa with known native or synanthropic status,Abundance of taxa with known native or synanthropic status in trap samples
T_NonnatSynanth_Abund,Trap,Abund,Abundance,NonnatSynanth,"non-native, non-synanthropic taxa","Abundance of non-native, non-synanthropic taxa","Abundance of non-native, non-synanthropic taxa in trap samples"
T_NonnatSynanth_RelAbund,Trap,RelAbund,Relative abundance,NonnatSynanth,"non-native, non-synanthropic taxa","Relative abundance of non-native, non-synanthropic taxa","Relative abundance of non-native, non-synanthropic taxa in trap samples"
V_NonnatSynanth_KRich,Veg,QC,,NonnatSynanth,,Number of taxa with known native or synanthropic status,Number of taxa with known native or synanthropic status in veg samples
V_NonnatSynanth_Rich,Veg,Rich,Richness,NonnatSynanth,"non-native, non-synanthropic taxa","Richness of non-native, non-synanthropic taxa","Richness of non-native, non-synanthropic taxa in veg samples"
V_NonnatSynanth_RelRich,Veg,RelRich,Relative richness,NonnatSynanth,"non-native, non-synanthropic taxa","Relative richness of non-native, non-synanthropic taxa","Relative richness of non-native, non-synanthropic taxa in veg samples"
V_NonnatSynanth_KAbund,Veg,QC,,NonnatSynanth,,Abundance of taxa with known native or synanthropic status,Abundance of taxa with known native or synanthropic status in veg samples
V_NonnatSynanth_Abund,Veg,Abund,Abundance,NonnatSynanth,"non-native, non-synanthropic taxa","Abundance of non-native, non-synanthropic taxa","Abundance of non-native, non-synanthropic taxa in veg samples"
V_NonnatSynanth_RelAbund,Veg,RelAbund,Relative abundance,NonnatSynanth,"non-native, non-synanthropic taxa","Relative abundance of non-native, non-synanthropic taxa","Relative abundance of non-native, non-synanthropic taxa in veg samples"
T_Predator_Rich,Trap,Rich,Richness,Predator,predators,Richness of predators,Richness of predators in trap samples
T_Predator_RelRich,Trap,RelRich,Relative richness,Predator,predators,Relative richness of predators,Relative richness of predators in trap samples
T_Predator_Abund,Trap,Abund,Abundance,Predator,predators,Abundance of predators,Abundance of predators in trap samples
T_Predator_RelAbund,Trap,RelAbund,Relative abundance,Predator,predators,Relative abundance of predators,Relative abundance of predators in trap samples
V_Predator_Rich,Veg,Rich,Richness,Predator,predators,Richness of predators,Richness of predators in veg samples
V_Predator_RelRich,Veg,RelRich,Relative richness,Predator,predators,Relative richness of predators,Relative richness of predators in veg samples
V_Predator_Abund,Veg,Abund,Abundance,Predator,predators,Abundance of predators,Abundance of predators in veg samples
V_Predator_RelAbund,Veg,RelAbund,Relative abundance,Predator,predators,Relative abundance of predators,Relative abundance of predators in veg samples
T_PredatorGround_Rich,Trap,Rich,Richness,PredatorGround,ground-dwelling predators,Richness of ground-dwelling predators,Richness of ground-dwelling predators in trap samples
T_PredatorGround_RelRich,Trap,RelRich,Relative richness,PredatorGround,ground-dwelling predators,Relative richness of ground-dwelling predators,Relative richness of ground-dwelling predators in trap samples
T_PredatorGround_Abund,Trap,Abund,Abundance,PredatorGround,ground-dwelling predators,Abundance of ground-dwelling predators,Abundance of ground-dwelling predators in trap samples
T_PredatorGround_RelAbund,Trap,RelAbund,Relative abundance,PredatorGround,ground-dwelling predators,Relative abundance of ground-dwelling predators,Relative abundance of ground-dwelling predators in trap samples
V_PredatorGround_Rich,Veg,Rich,Richness,PredatorGround,ground-dwelling predators,Richness of ground-dwelling predators,Richness of ground-dwelling predators in veg samples
V_PredatorGround_RelRich,Veg,RelRich,Relative richness,PredatorGround,ground-dwelling predators,Relative richness of ground-dwelling predators,Relative richness of ground-dwelling predators in veg samples
V_PredatorGround_Abund,Veg,Abund,Abundance,PredatorGround,ground-dwelling predators,Abundance of ground-dwelling predators,Abundance of ground-dwelling predators in veg samples
V_PredatorGround_RelAbund,Veg,RelAbund,Relative abundance,PredatorGround,ground-dwelling predators,Relative abundance of ground-dwelling predators,Relative abundance of ground-dwelling predators in veg samples
T_StratumFinal_KRich,Trap,QC,,StratumFinal,,Number of taxa with known stratum preference,Number of taxa with known stratum preference in trap samples
T_StratumFinal_KAbund,Trap,QC,,StratumFinal,,Abundance of taxa with known stratum preference,Abundance of taxa with known stratum preference in trap samples
V_StratumFinal_KRich,Veg,QC,,StratumFinal,,Number of taxa with known stratum preference,Number of taxa with known stratum preference in veg samples
V_StratumFinal_KAbund,Veg,QC,,StratumFinal,,Abundance of taxa with known stratum preference,Abundance of taxa with known stratum preference in veg samples
T_TempTol_KRich,Trap,QC,,TempTol,,Number of taxa with known critical temperature tolerance,Number of taxa with known critical temperature tolerance in trap samples
T_TempTol_KAbund,Trap,QC,,TempTol,,Abundance of taxa with known critical temperature tolerance,Abundance of taxa with known critical temperature tolerance in trap samples
T_TempTolAverage,Trap,Other,,TempTol,,Average temperature tolerance,Average temperature tolerance in trap samples
T_TempTolMax,Trap,Other,,TempTol,,Maximum temperature tolerance,Maximum temperature tolerance in trap samples
V_TempTol_KRich,Veg,QC,,TempTol,,Number of taxa with known critical temperature tolerance,Number of taxa with known critical temperature tolerance in veg samples
V_TempTol_KAbund,Veg,QC,,TempTol,,Abundance of taxa with known critical temperature tolerance,Abundance of taxa with known critical temperature tolerance in veg samples
V_TempTolMax,Veg,Other,,TempTol,,Maximum temperature tolerance,Maximum temperature tolerance in veg samples
V_TempTolAverage,Veg,Other,,TempTol,,Average temperature tolerance,Average temperature tolerance in veg samples
T_TempTolHigh_Rich,Trap,Rich,Richness,TempTolHigh,arthropods with high temperature tolerance,Richness of arthropods with high temperature tolerance,Richness of arthropods with high temperature tolerance in trap samples
T_TempTolHigh_RelRich,Trap,RelRich,Relative richness,TempTolHigh,arthropods with high temperature tolerance,Relative richness of arthropods with high temperature tolerance,Relative richness of arthropods with high temperature tolerance in trap samples
T_TempTolHigh_Abund,Trap,Abund,Abundance,TempTolHigh,arthropods with high temperature tolerance,Abundance of arthropods with high temperature tolerance,Abundance of arthropods with high temperature tolerance in trap samples
T_TempTolHigh_RelAbund,Trap,RelAbund,Relative abundance,TempTolHigh,arthropods with high temperature tolerance,Relative abundance of arthropods with high temperature tolerance,Relative abundance of arthropods with high temperature tolerance in trap samples
V_TempTolHigh_Rich,Veg,Rich,Richness,TempTolHigh,arthropods with high temperature tolerance,Richness of arthropods with high temperature tolerance,Richness of arthropods with high temperature tolerance in veg samples
V_TempTolHigh_Abund,Veg,Abund,Abundance,TempTolHigh,arthropods with high temperature tolerance,Abundance of arthropods with high temperature tolerance,Abundance of arthropods with high temperature tolerance in veg samples
V_TempTolHigh_RelRich,Veg,RelRich,Relative richness,TempTolHigh,arthropods with high temperature tolerance,Relative richness of arthropods with high temperature tolerance,Relative richness of arthropods with high temperature tolerance in veg samples
V_TempTolHigh_RelAbund,Veg,RelAbund,Relative abundance,TempTolHigh,arthropods with high temperature tolerance,Relative abundance of arthropods with high temperature tolerance,Relative abundance of arthropods with high temperature tolerance in veg samples
